Location;Capacity Glass;EmptyTimeGlass;Mean Glass;Std glass;Capacity Plastic;EmptyTimePlastic;mean plastic;std plastic
0;0;0;0;0;0;0;0;0
1;1.65;3;0.028007538;0.001353108;1.65;3;0.041553769;0.002046449
2;1.65;3;0.019637688;0.000952952;1.65;3;0.013996985;0.000740932
3;1.65;3;0.008936181;0.000428996;1.65;3;0.008764322;0.000408599
4;1.65;3;0.041369347;0.002269565;1.65;3;0.049483417;0.002528519
5;1.65;3;0.022191457;0.001164317;1.65;3;0.020262814;0.000985513
6;4.95;5;0.179564322;0.009044401;1.65;3;0.098914573;0.004867968
7;3.3;4;0.193887437;0.009321713;0;0;0;0
8;1.65;3;0.016897487;0.000780212;1.65;3;0.021897487;0.001113482
9;1.65;3;0.040268342;0.002040463;1.65;3;0.002048241;0.000109103
10;1.65;3;0.011130653;0.000588196;0;0;0;0
11;1.65;3;0.01060402;0.000500791;1.65;3;0.013521106;0.000603321
12;1.65;3;0.002069849;0.00010394;0;0;0;0
13;1.65;3;0.020582915;0.00099484;1.65;3;0.021298492;0.001018985
14;1.65;3;0.01528191;0.000806836;1.65;3;0.014575377;0.000757352
15;3.3;4;0.069760302;0.003596292;3.3;4;0.076709548;0.003715469
16;1.65;3;0.030236181;0.001621633;1.65;3;0.030556784;0.001473346
17;1.65;3;0.046146734;0.0024237;1.65;3;0.072622111;0.003657746
18;3.3;4;0.017365327;0.000893158;3.3;4;0.101748241;0.00502016
19;1.65;3;0.020590452;0.00102433;1.65;3;0.019833166;0.001008352
20;3.3;4;0.030649749;0.00163435;3.3;4;0.050540704;0.002410876
21;1.65;3;0.031150754;0.001554299;1.65;3;0.035370352;0.001727313
22;1.65;3;0.002064824;0.000113569;0;0;0;0
23;1.65;3;0.027593467;0.001331517;1.65;3;0.048263317;0.002409768
24;1.65;3;0.006847739;0.000340947;0;0;0;0
25;1.65;3;0.053934673;0.002665142;1.65;3;0.062213065;0.003419216
26;1.65;3;0.009472864;0.000517245;0;0;0;0
27;4.95;5;0.406057286;0.020592676;0;0;0;0
28;1.65;3;0.021693467;0.001052178;1.65;3;0.026540704;0.001325127
29;1.65;3;0.015874874;0.000731107;1.65;3;0.009315075;0.000460099
30;1.65;3;0.013749246;0.000720821;1.65;3;0.011421608;0.000576112
31;1.65;3;0.019582412;0.000950886;1.65;3;0.033154271;0.001736643
32;1.65;3;0.002079899;0.000107769;0;0;0;0
33;1.65;3;0.021109548;0.001049463;1.65;3;0.028612563;0.001302404
34;3.3;4;0.105836181;0.004753765;3.3;4;0.142593467;0.007102675
35;1.65;3;0.031715075;0.001606072;1.65;3;0.035821106;0.001718602
36;6.6;6;0.214355779;0.010521285;6.6;6;0.284621106;0.014266895
37;1.65;3;0.008901005;0.000414508;1.65;3;0.008305025;0.000400473
38;1.65;3;0.026352764;0.001380777;1.65;3;0.036798995;0.001890593
39;1.65;3;0.002069347;0.000110166;1.65;3;0.003117085;0.000143933
40;1.65;3;0.023276382;0.001164715;1.65;3;0.020645729;0.001011634
41;1.65;3;0.028075377;0.001490931;1.65;3;0.036366834;0.001753382
42;3.3;4;0.135173869;0.00665361;3.3;4;0.14670402;0.007003065
43;1.65;3;0.01378392;0.000668061;1.65;3;0.01301407;0.000710671
44;1.65;3;0.045238693;0.002442234;1.65;3;0.031233166;0.001440646
45;3.3;4;0.092855779;0.004638514;3.3;4;0.146657789;0.008518727
46;1.65;3;0.002081407;0.000108739;0;0;0;0
47;1.65;3;0.053938191;0.002532705;1.65;3;0.040629146;0.001912705
48;1.65;3;0.077370352;0.003875718;1.65;3;0.05070603;0.002688314
49;1.65;3;0.025301508;0.00130792;1.65;3;0.013023116;0.000617316
50;1.65;3;0.002057789;0.000115151;0;0;0;0
51;1.65;3;0.015309045;0.000774739;1.65;3;0.014028643;0.000710551
52;1.65;3;0.016962312;0.000842457;1.65;3;0.017131156;0.000846701
53;1.65;3;0.008417588;0.000425503;0;0;0;0
54;1.65;3;0.015818593;0.000734576;1.65;3;0.01291608;0.000681088
55;1.65;3;0.084843216;0.004269902;1.65;3;0.050978894;0.002393965
56;1.65;3;0.041828141;0.001914013;1.65;3;0.028656784;0.001621585
57;1.65;3;0.031316583;0.00160623;1.65;3;0.02589799;0.001473159
58;1.65;3;0.025993467;0.001393059;1.65;3;0.025591457;0.001407081
59;1.65;3;0.04651608;0.002118853;1.65;3;0.096507538;0.004943192
60;1.65;3;0.037692462;0.002020249;1.65;3;0.08850603;0.004668621
61;3.3;4;0.064075879;0.003148724;0;0;0;0
62;1.65;3;0.025390452;0.001155207;1.65;3;0.022290452;0.001260856
